Gene	Alteration	Origin	Entities	Comments	Reference	RefGene Group
FH	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [leiomyomatosis, renal]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FHIT	Translocation; ; ; ; ; 	Somatic; 	[pleomorphic salivary gland adenoma]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FIP1L1	Translocation; ; ; ; ; 	Somatic; 	[idiopathic hypereosinophilic syndrome]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FKBP9	Missense; ; ; ; ; 	Somatic; 	[glioma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FLCN	Missense; Nonsense; Frameshift; ; ; ; 	; Germline	[]; [renal, fibrofolliculomas, trichodiscomas]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FLI1	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FLNA	Missense; Frameshift; Other; ; ; 	Somatic; 	[phyllodes tumour of the breast]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FLT3	Missense; Other; ; ; ; 	Somatic; 	[AML, ALL]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FLT4	Amplication; ; ; ; ; 	Somatic; 	[soft tissue sarcoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FNBP1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FOXA1	Missense; Frameshift; ; ; ; 	Somatic; 	[breast, prostate]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FOXL2	Missense; ; ; ; ; 	Somatic; 	[granulosa-cell tumour of the ovary]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FOXO1	Translocation; ; ; ; ; 	Somatic; 	[alveolar rhabdomyosarcoma]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FOXO3	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FOXO4	Translocation; ; ; ; ; 	Somatic; 	[AL, soft tissue sarcoma]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FOXP1	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FOXR1	Translocation; ; ; ; ; 	Somatic; 	[neuroblastoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FSTL3	Translocation; ; ; ; ; 	Somatic; 	[B-CLL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FUBP1	Frameshift; Nonsense; ; ; ; 	Somatic; 	[oligodendroglioma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FUS	Translocation; ; ; ; ; 	Somatic; 	[liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GAS7	Translocation; ; ; ; ; 	Somatic; 	[AML*]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GATA1	Missense; Frameshift; ; ; ; 	Somatic; 	[megakaryoblastic leukaemia of Downs syndrome]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GATA2	Missense; ; ; ; ; 	Somatic; 	[AML (CML blast transformation)]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GATA3	Frameshift; Nonsense; Splice site; ; ; 	Somatic; 	[breast]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GLI1	Translocation; Frameshift; ; ; ; 	Somatic; 	[CRC, oesophagus cancer]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GMPS	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GNA11	Missense; ; ; ; ; 	Somatic; 	[uveal melanoma, primary central nervous system melanocytic neoplasms]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GNAQ	Missense; ; ; ; ; 	Somatic; 	[uveal melanoma, primary central nervous system melanocytic neoplasms]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GNAS	Missense; ; ; ; ; 	Somatic; 	[pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GOLGA5	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid, Spitzoid tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GOLPH3	Amplication; ; ; ; ; 	Somatic; 	[breast cancer, NSCLC, ovarian cancer]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GOPC	Translocation; ; ; ; ; 	Somatic; 	[glioblastoma, cholangiocarcinoma, borderline ovarian]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GPC3	Deletion; Missense; Nonsense; Frameshift; Splice site; 	; Germline	[]; [Wilms tumour]	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GPC5	Deletion; ; ; ; ; 	Somatic; 	[lung adenocarcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GPHN	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GRIN2A	Missense; Nonsense; Frameshift; Other; ; 	Somatic; 	[melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
GRM3	Missense; Amplification; ; ; ; 	Somatic; 	[melanoma, oral SCC]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
H3F3A	Missense; ; ; ; ; 	Somatic; 	[glioma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
H3F3B	Missense; ; ; ; ; 	Somatic; 	[chondroblastoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HERPUD1	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HEY1	Translocation; ; ; ; ; 	Somatic; 	[mesenchymal chondrosarcoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HIF1A	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HIP1	Translocation; ; ; ; ; 	Somatic; 	[CMML, NSCLC]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HIST1H3B	Missense; ; ; ; ; 	Somatic; 	[glioma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HIST1H4I	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
